ADM2_NAME,year,month,median
Delhi,2023.0,7.0,0.28513579321084703
Gurgaon,2023.0,7.0,0.36326908450404855
Faridabad,2023.0,7.0,0.230420617705828
Ghaziabad,2023.0,7.0,0.7423485212906702
Ghaziabad,2023.0,7.0,0.5195256778354258
Gautam Buddha Nagar,2023.0,8.0,0.6054920033063098
Delhi,2023.0,8.0,0.3945244061247375
Gurgaon,2023.0,8.0,0.5742384115376483
Faridabad,2023.0,8.0,0.660177574477801
Ghaziabad,2023.0,8.0,0.7070872538796557
Ghaziabad,2023.0,8.0,0.5586126786718542
Gautam Buddha Nagar,2023.0,9.0,0.4882755837614817
Delhi,2023.0,9.0,0.3671882026466791
Gurgaon,2023.0,9.0,0.37108920414194624
Faridabad,2023.0,9.0,0.5547523013775608
Ghaziabad,2023.0,9.0,0.6172967327017053
Ghaziabad,2023.0,9.0,0.2929897700796793
Gautam Buddha Nagar,2023.0,10.0,0.3632816585472859
Delhi,2023.0,10.0,0.31641839951512934
Gurgaon,2023.0,10.0,0.24607087346402476
Faridabad,2023.0,10.0,0.3007713532121437
Ghaziabad,2023.0,10.0,0.48827927929127585
Ghaziabad,2023.0,10.0,0.5429679624340171
Gautam Buddha Nagar,2023.0,11.0,0.17573260942929247
Delhi,2023.0,11.0,0.22264180519889246
Gurgaon,2023.0,11.0,0.17573759941844228
Faridabad,2023.0,11.0,0.1835457393674664
Ghaziabad,2023.0,11.0,0.32420862727272953
Ghaziabad,2023.0,11.0,0.47265653107900035
Gautam Buddha Nagar,2023.0,12.0,0.3476394710822563
Delhi,2023.0,12.0,0.33200875777178185
Gurgaon,2023.0,12.0,0.49605682980416876
Faridabad,2023.0,12.0,0.5273519760812017
Ghaziabad,2023.0,12.0,0.4257806059111196
Ghaziabad,2023.0,12.0,0.4570325343817272
